# data source: ../../data/english/ngrams/english-brown_words.txt
# type count: 53
# token count: 7204329
#	2289228
e	592450
t	438348
a	380924
o	359749
i	345340
n	336209
s	310150
r	290546
h	256957
l	195857
d	187964
c	146744
u	128606
m	120324
f	110495
p	95637
g	92382
w	88999
y	81607
b	72557
,	58636
.	55223
v	47108
k	31125
-	15116
'	10719
j	9393
x	9389
1	5140
q	5051
z	4500
0	4452
;	2771
2	2580
)	2448
(	2421
?	2243
5	2124
9	2121
:	1914
3	1697
6	1437
4	1431
8	1264
7	1049
]	798
$	580
/	207
&	165
%	149
*	4
+	1
