# data source: ../../data/french/ngrams/french-encarta_words.txt
# type count: 3053
# token count: 51318894
e	#	2209755
s	#	1645167
#	d	1200859
e	s	1103662
#	l	1061550
t	#	969751
l	e	809849
d	e	794325
e	n	743054
n	t	673398
#	p	653477
o	n	652433
r	e	599725
#	,	595592
,	#	595592
n	#	580227
#	e	569787
#	c	532236
a	n	519117
#	s	495821
l	a	458681
a	#	449080
t	i	427737
#	a	417320
r	#	383752
#	.	376252
.	#	376252
t	e	366650
i	n	365742
e	r	355775
u	r	354799
q	u	348210
i	s	344220
i	t	344201
o	u	324946
i	e	312727
a	r	311819
m	e	311204
e	t	310667
n	e	301992
u	e	299354
c	o	296448
r	a	294183
n	s	293906
a	i	291833
r	i	279231
#	m	270629
s	e	267903
s	t	260800
u	#	258255
t	r	255676
#	r	250305
i	o	249666
a	t	248833
p	a	243019
t	a	237500
a	l	236256
#	f	235157
o	r	233236
c	e	230489
a	u	226178
e	u	222358
u	n	218163
#	t	215845
l	i	215021
r	o	213185
l	'	212947
i	l	209929
p	r	199860
s	i	199329
e	m	196358
p	o	193689
v	e	180541
m	a	176882
l	l	176384
u	t	175027
s	o	170185
o	m	169219
u	s	168512
n	d	167793
e	l	166734
#	i	166248
d	u	166172
à	#	165653
i	r	165176
u	i	161735
#	à	158092
c	h	155098
r	é	153130
s	s	150678
i	#	150493
é	#	150348
#	n	149951
#	u	149302
l	#	147614
r	t	147607
#	1	140029
n	c	136263
o	i	136256
n	i	136247
d	a	135321
p	e	134889
#	q	134087
n	a	133844
d	'	133843
m	i	132274
i	q	131747
s	a	131232
r	s	131182
d	i	130040
t	é	129269
#	o	127581
#	v	126245
é	e	126018
v	i	125306
#	é	122558
#	g	121270
s	u	116960
l	o	116650
#	b	115592
'	a	115458
c	i	115364
n	o	112632
é	r	112339
é	t	112281
c	a	111186
p	l	110191
t	o	104984
o	l	104332
d	é	103983
l	u	102837
n	n	101240
a	c	101007
i	c	100098
c	t	98086
m	o	97876
x	#	97785
a	s	97210
é	s	95176
m	p	94913
e	c	93269
#	)	93263
)	#	93263
#	(	93189
(	#	93189
t	s	91648
g	e	91006
u	x	90699
t	u	89892
a	v	81933
u	l	81823
a	p	81116
v	a	78955
h	a	78583
i	v	77847
a	g	77457
f	i	76156
u	v	76154
f	o	75901
a	m	75185
i	m	74848
h	e	73439
m	m	73078
g	r	72922
é	c	72321
1	9	72253
'	e	71703
o	s	71016
è	r	66774
n	é	66767
b	l	66723
r	m	66080
o	p	65522
b	r	64393
i	a	63413
a	b	62681
n	g	62379
#	j	62236
d	o	61877
h	i	60696
i	g	60018
i	è	59025
g	i	58577
!	#	58448
#	!	58448
d	#	58402
t	t	56460
r	r	56377
#	h	56146
o	c	55145
e	x	54424
é	g	54299
i	d	54090
m	é	53800
r	d	53794
'	u	53502
g	a	52999
v	o	52725
s	é	52076
c	#	52015
'	i	51979
c	u	51791
b	a	51170
c	l	51148
f	u	51037
c	r	50601
m	b	50288
f	a	49949
t	h	48526
f	r	48103
'	é	47358
p	u	47111
p	p	46932
g	u	46402
i	f	46305
o	t	46083
g	n	46057
p	i	46012
l	é	44957
a	d	44902
r	c	44585
s	p	43614
h	o	43406
e	a	43279
o	d	42503
u	c	42501
p	é	41744
p	h	41651
é	l	41144
'	o	41088
b	o	40999
r	u	40457
r	n	40206
é	p	39707
e	i	38991
b	i	38881
e	p	36772
u	p	36742
è	s	36456
r	è	36201
u	a	36056
r	g	35960
d	r	35217
b	e	34991
f	f	34891
u	m	34495
e	v	33027
h	é	32904
m	#	32904
s	c	32733
u	d	32684
f	e	32222
l	s	31784
é	d	31641
é	n	31559
i	b	31211
o	g	31207
m	u	30919
é	v	29649
0	#	29517
n	u	29511
1	8	29421
g	é	29233
p	t	29153
i	p	29058
